timestamp,source_ip,description
2024-11-22 09:55:07,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:07,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:07,192.168.10.2,Possible SYN scan detected
2024-11-22 09:55:07,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:07,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:07,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:07,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:07,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:07,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:07,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:07,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:07,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:07,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:08,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:08,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:08,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:08,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:08,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:08,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:08,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:08,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:08,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:08,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:08,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:08,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:08,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:08,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:08,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:08,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:08,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:08,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:08,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:08,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:09,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:09,192.168.10.2,Possible SYN scan detected
2024-11-22 09:55:09,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:09,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:09,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:09,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:09,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:09,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:09,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:09,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:09,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:09,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:09,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:09,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:09,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:09,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:09,192.168.181.128,Possible SYN scan detected
2024-11-22 09:55:09,192.168.181.128,Possible SYN scan detected
